ano,acesso_brasil,media_global
1990,87.47511,96.25963250515467
1991,90.606544,91.50936053703703
1992,88.80383,86.98831662295082
1993,89.99992,83.97395370305344
1994,91.88373,82.74981274036494
1995,91.7286,81.78991954722225
1996,92.867096,79.91722897450978
1997,93.35414,79.0378720672956
1998,94.19381,78.28668383012047
1999,94.76296,78.26211180523254
2000,94.4,75.44465118483416
2001,96.0,75.96879255924172
2002,96.7,76.15660702830189
2003,97.0,76.75219165094337
2004,96.8,77.26580993396223
2005,97.1,77.71934313679246
2006,97.6,78.6511921698113
2007,98.1,78.29098271028039
2008,98.5,78.9713420093458
2009,98.9,79.0798357209302
2010,98.6,79.94207313488371
2011,99.3,80.65722893023256
2012,99.5,81.36015788372093
2013,99.6,81.92469525581396
2014,99.7,82.66648933023255
2015,99.7,83.22941184186047
2016,99.7,84.21118060465118
2017,99.8,84.95177255813955
2018,99.7,85.55765744186044
2019,99.8,86.11259037209305
2020,99.7,86.64649944186046
2021,99.5,87.13690693023257
2022,100.0,87.45105979069768
