ano,correlacao_idh_geracao
2000,0.3530368118948838
2001,0.35478474504002394
2002,0.3537313121801677
2003,0.357354519140252
2004,0.36098330013945085
2005,0.36706719761889195
2006,0.3657302607366628
2007,0.34636891768963907
2008,0.34120672775805283
2009,0.3479034473465779
2010,0.3421978144785956
2011,0.35358912626907946
2012,0.36400006235260846
2013,0.3728297501317693
2014,0.38429887330407436
2015,0.3921847673625743
2016,0.4042835114895055
2017,0.4132334290026453
2018,0.4175383704403443
2019,0.42455203656392304
2020,0.4453144609498445
2021,0.4647554533229236
2022,0.4808561067240598
