estado,capacidade_total_mw
PARA,44240.26000000002
BAHIA,21475.112299999993
MINAS GERAIS,18977.549560000007
SAO PAULO,18180.631120000035
PARANA,17889.691999999995
RIO GRANDE DO NORTE,11965.068979999967
RIO DE JANEIRO,11028.981999999995
SANTA CATARINA,9453.380000000006
RIO GRANDE DO SUL,7414.275999999998
GOIAS,7178.213000000011
DADOS REF. PARAGUAI,7000.0
PIAUI,6762.431333390006
CEARA,6117.941200000012
PERNAMBUCO,5417.643520000007
RONDONIA,4477.250000000001
MARANHAO,4345.555000000002
ALAGOAS,3371.1199999999913
MATO GROSSO,2606.458
AMAZONAS,2081.746
PARAIBA,2046.3119999999997
MATO GROSSO DO SUL,1753.5920999999998
SERGIPE,1690.7590000000025
TOCANTINS,1401.25
ESPIRITO SANTO,1084.1869999999997
AMAPA,1060.87
RORAIMA,561.5450000000001
ACRE,89.336
DISTRITO FEDERAL,10.0
